age,gender,salary,department,experience,education,city,work_hours,target
18,Male,20000,IT,1,Diploma,Chennai,6,0
22,Female,25000,HR,2,UG,Chennai,7,0
25,Female,30000,IT,3,UG,Bangalore,8,1
30,Male,35000,Finance,5,PG,Chennai,9,1
35,Male,40000,IT,7,PG,Delhi,10,1
28,Female,28000,HR,4,UG,Chennai,7,0
40,Male,50000,Finance,10,PG,Mumbai,9,1
23,Female,26000,IT,2,UG,Bangalore,8,0
27,Male,32000,IT,4,UG,Chennai,8,1
31,Female,37000,Finance,6,PG,Delhi,9,1
29,Male,34000,IT,5,UG,Mumbai,8,1
24,Female,27000,HR,3,UG,Chennai,7,0
26,Male,30000,IT,3,UG,Bangalore,8,1
33,Male,42000,Finance,8,PG,Mumbai,10,1
21,Female,24000,HR,2,UG,Chennai,6,0
38,Male,48000,Finance,9,PG,Delhi,10,1
32,Female,36000,IT,6,PG,Bangalore,9,1
19,Male,21000,HR,1,Diploma,Chennai,6,0
36,Male,45000,Finance,8,PG,Mumbai,9,1
27,Female,31000,IT,4,UG,Chennai,8,1